file,dataset,subject_id,fs,window_idx,t_start_s,t_end_s,label,n_peaks,hr_mean,rr_gap_s,rr_ratio,template_r_median,rule1_hr,rule2_gap,rule3_ratio,reason
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,0,0.0,10.0,unfit,16,94.54,0.7,2.333,0.9909,True,True,False,rr_ratio_high
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,1,5.0,15.0,excellent,15,88.98,0.76,1.246,0.9932,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,2,10.0,20.0,excellent,14,84.78,0.76,1.134,0.997,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,3,15.0,25.0,excellent,14,86.38,0.72,1.075,0.9978,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,4,20.0,30.0,excellent,14,84.69,0.73,1.058,0.9988,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,5,25.0,35.0,excellent,15,85.37,0.73,1.09,0.9986,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,6,30.0,40.0,excellent,15,85.28,0.74,1.104,0.999,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,7,35.0,45.0,excellent,14,85.81,0.74,1.194,0.9973,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,8,40.0,50.0,excellent,14,86.09,0.75,1.21,0.9951,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,9,45.0,55.0,excellent,14,83.96,0.75,1.119,0.9983,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,10,50.0,60.0,excellent,15,87.68,0.73,1.159,0.9964,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,11,55.0,65.0,excellent,15,87.32,0.72,1.143,0.9986,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,12,60.0,70.0,excellent,14,87.44,0.72,1.161,0.9987,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,13,65.0,75.0,excellent,15,89.94,0.7,1.129,0.9969,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,14,70.0,80.0,excellent,15,86.87,0.76,1.188,0.9927,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,15,75.0,85.0,excellent,13,82.66,0.76,1.118,0.9984,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,16,80.0,90.0,excellent,13,82.57,0.76,1.101,0.9983,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,17,85.0,95.0,excellent,15,84.51,0.76,2.111,0.9981,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,18,90.0,100.0,excellent,15,89.17,0.76,2.111,0.9971,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,19,95.0,105.0,excellent,15,87.68,0.76,1.226,0.9968,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,20,100.0,110.0,excellent,15,87.68,0.74,1.194,0.9979,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,21,105.0,115.0,excellent,15,92.21,0.72,1.241,0.9973,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,22,110.0,120.0,excellent,16,95.54,0.71,1.868,0.9918,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,23,115.0,125.0,excellent,15,88.33,0.71,1.092,0.9964,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,24,120.0,130.0,excellent,15,88.98,0.72,1.18,0.9978,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,25,125.0,135.0,excellent,14,85.25,0.75,1.19,0.9959,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,26,130.0,140.0,excellent,14,82.8,0.75,1.071,0.9975,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,27,135.0,145.0,excellent,15,90.13,0.77,2.139,0.9966,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,28,140.0,150.0,unfit,19,116.5,0.81,2.613,0.9869,True,True,False,rr_ratio_high
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,29,145.0,155.0,unfit,19,111.92,0.81,2.613,0.9872,True,True,False,rr_ratio_high
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,30,150.0,160.0,unfit,16,96.46,0.75,2.419,0.9881,True,True,False,rr_ratio_high
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,31,155.0,165.0,excellent,15,91.6,0.73,2.086,0.9966,True,True,True,all_pass
S01_1_20260429_162631_cleaned.csv,BP-protocol,S01,100,32,160.0,170.0,excellent,14,82.37,0.78,1.114,0.9987,True,True,True,all_pass
